policy_id,side,observation_date,available_at,earliest_tradable_open,entry_date,exit_date,fee_share,transaction_density,fee_share_z,transaction_density_z,composite,source_lag_days,fee_reference_count,density_reference_count
BFC-3,1,2022-12-27 00:00:00,2022-12-28 05:26:02,2022-12-28 05:30:00,2022-12-28 05:35:00,2022-12-31 05:35:00,-3.4170130965658703,7.6504997513125295,1.5869391150499979,1.29172902166565,2.232803625882823,1.226412037037037,180,180
BFC-3,1,2023-01-20 00:00:00,2023-01-21 07:11:51,2023-01-21 07:15:00,2023-01-21 07:20:00,2023-01-24 07:20:00,-3.6949513714352404,7.73939218324047,1.0729023949197483,1.9697254250951803,2.0577651074673384,1.2998958333333333,180,180
BFC-3,1,2023-01-31 00:00:00,2023-02-01 05:52:24,2023-02-01 05:55:00,2023-02-01 06:00:00,2023-02-04 06:00:00,-3.6314702989663235,7.906976317973994,1.2167964449330815,3.1172234309179028,2.7754081603920326,1.2447222222222223,180,180
BFC-3,1,2023-02-07 00:00:00,2023-02-08 06:24:01,2023-02-08 06:25:00,2023-02-08 06:30:00,2023-02-11 06:30:00,-3.691935658482029,7.66640332557582,1.036928013691303,1.2302017129311915,1.6520288701568988,1.2666782407407406,180,180
BFC-3,1,2023-02-14 00:00:00,2023-02-15 05:58:58,2023-02-15 06:00:00,2023-02-15 06:05:00,2023-02-18 06:05:00,-3.598619533835554,7.59219583548437,1.210061624851396,0.6730671344241115,1.5465951920634518,1.2492824074074074,180,180
BFC-3,1,2023-02-27 00:00:00,2023-02-28 06:48:54,2023-02-28 06:50:00,2023-02-28 06:55:00,2023-03-03 06:55:00,-3.6340034102904815,7.659548654974816,1.0354101507418294,1.0741422385247628,1.5724812700042108,1.2839583333333333,180,180
BFC-3,1,2023-03-06 00:00:00,2023-03-07 04:52:54,2023-03-07 04:55:00,2023-03-07 05:00:00,2023-03-10 05:00:00,-3.516808108672206,7.787774882790775,1.2697879820274134,1.9042543233610036,2.221915143707915,1.2034027777777778,180,180
BFC-3,1,2023-03-14 00:00:00,2023-03-15 04:01:47,2023-03-15 04:05:00,2023-03-15 04:10:00,2023-03-18 04:10:00,-3.1900329346358087,7.716927482000857,1.910026357676615,1.3340038237344625,2.5770282695438462,1.1679050925925927,180,180
BFC-3,1,2023-03-20 00:00:00,2023-03-21 04:54:50,2023-03-21 04:55:00,2023-03-21 05:00:00,2023-03-24 05:00:00,-3.4913024354410354,7.691665717985359,1.0945770650341855,1.1140459514511711,1.651600040759771,1.2047453703703703,180,180
BFC-3,1,2023-03-28 00:00:00,2023-03-29 04:53:35,2023-03-29 04:55:00,2023-03-29 05:00:00,2023-04-01 05:00:00,-3.4427756262465232,7.770667275576545,1.102782984671725,1.6427816343331316,1.9241738018382908,1.2038773148148147,180,180
BFC-3,1,2023-03-31 00:00:00,2023-04-01 06:18:41,2023-04-01 06:20:00,2023-04-01 06:25:00,2023-04-04 06:25:00,-3.271690172447345,7.69199680192939,1.4473611120442404,1.065431342261172,1.9800767831748265,1.262974537037037,180,180
BFC-3,1,2023-04-25 00:00:00,2023-04-26 05:53:44,2023-04-26 05:55:00,2023-04-26 06:00:00,2023-04-29 06:00:00,-3.3909087539784073,8.001427385017758,1.0773097645494578,2.8426713290198253,2.4986454290593705,1.245648148148148,180,180
BFC-3,1,2023-05-29 00:00:00,2023-05-30 04:40:04,2023-05-30 04:45:00,2023-05-30 04:50:00,2023-06-02 04:50:00,-2.6563543737863546,8.127991411822268,1.098933763928098,1.5982564542124897,1.8980619910343428,1.1944907407407408,180,180
BFC-3,1,2023-06-06 00:00:00,2023-06-07 04:33:29,2023-06-07 04:35:00,2023-06-07 04:40:00,2023-06-10 04:40:00,-2.411124595234636,8.039078344409637,1.322442426657947,1.1800590872150556,1.9124719702654749,1.1899189814814815,180,180
BFC-3,1,2023-11-04 00:00:00,2023-11-05 04:34:44,2023-11-05 04:35:00,2023-11-05 04:40:00,2023-11-08 04:40:00,-2.5737382107234037,8.340765659254249,1.1953004256696287,1.5606398151874414,1.9756203332633495,1.190787037037037,180,180
BFC-3,1,2023-12-03 00:00:00,2023-12-04 06:27:24,2023-12-04 06:30:00,2023-12-04 06:35:00,2023-12-07 06:35:00,-1.9884263169478837,8.363103519828949,1.8911231609215056,1.5109225980276513,2.6465844599353314,1.2690277777777779,180,180
