policy_id,clock,side,state,origin_lag,maturity_height,confirmation_height,entry_time,exit_time,fee_pressure,cadence_compression,fee_rank,cadence_rank
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,702104,702110,2021-09-25T08:05:00Z,2021-09-28T08:05:00Z,16.470485105289896,0.19023276806529071,0.41487332112332115,0.90928342490842495
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,702576,702582,2021-09-28T15:10:00Z,2021-10-01T15:10:00Z,16.000047880262709,0.18330203730791605,0.30559371184371187,0.90014499389499392
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,703161,703167,2021-10-02T10:55:00Z,2021-10-05T10:55:00Z,16.838624702857423,0.19081754571521886,0.536019536019536,0.90810057997558002
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,703665,703671,2021-10-05T14:05:00Z,2021-10-08T14:05:00Z,15.707576794147469,0.19603515988171574,0.25999694749694752,0.90758547008547008
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,704400,704406,2021-10-10T19:20:00Z,2021-10-13T19:20:00Z,14.760276009529138,0.19091840401947283,0.10580738705738706,0.90125152625152627
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,704884,704890,2021-10-14T00:45:00Z,2021-10-17T00:45:00Z,15.955123089173211,0.19235169083131218,0.33745421245421248,0.9046283577533577
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,705421,705427,2021-10-17T18:20:00Z,2021-10-20T18:20:00Z,14.011727623450161,0.19384772863257763,0.050099206349206352,0.9043421855921856
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,706599,706605,2021-10-25T12:20:00Z,2021-10-28T12:20:00Z,15.06772509038178,0.20448536949567633,0.16292735042735043,0.91407203907203904
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,707234,707240,2021-10-29T11:20:00Z,2021-11-01T11:20:00Z,15.609850195692923,0.22299772861352321,0.28567612942612941,0.93316926129426125
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,707985,707991,2021-11-03T09:55:00Z,2021-11-06T09:55:00Z,16.635479283897734,0.20178983998935285,0.63110500610500608,0.91058073870573875
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,708462,708468,2021-11-06T12:45:00Z,2021-11-09T12:45:00Z,16.63551421346251,0.19437389531812913,0.64323870573870578,0.90764270451770457
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,708969,708975,2021-11-09T22:55:00Z,2021-11-12T22:55:00Z,16.861229612789131,0.19435365301779342,0.72290903540903539,0.91701007326007322
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,709583,709589,2021-11-14T00:35:00Z,2021-11-17T00:35:00Z,16.386021192051487,0.1753856657928422,0.58237942612942617,0.90247252747252749
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,711311,711317,2021-11-26T01:35:00Z,2021-11-29T01:35:00Z,16.690092645869615,-0.16231724249365165,0.7442765567765568,0.098901098901098897
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,712004,712010,2021-12-01T01:35:00Z,2021-12-04T01:35:00Z,15.510290955562418,-0.15127512079603433,0.32310744810744813,0.099893162393162399
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,712492,712498,2021-12-04T06:40:00Z,2021-12-07T06:40:00Z,16.799648577162998,0.18054313911654343,0.8051739926739927,0.91361416361416359
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,712983,712989,2021-12-07T07:15:00Z,2021-12-10T07:15:00Z,16.256419167991254,0.1770554471214548,0.61042429792429798,0.90306394993894989
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,713487,713493,2021-12-10T08:50:00Z,2021-12-13T08:50:00Z,15.231082856644198,0.18374256594940164,0.25721153846153844,0.90922619047619047
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,714262,714268,2021-12-15T16:35:00Z,2021-12-18T16:35:00Z,16.546607855936532,-0.13164210905171517,0.7579746642246642,0.097374847374847376
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,714662,714668,2021-12-18T16:35:00Z,2021-12-21T16:35:00Z,16.830440766220804,-0.12069730356803875,0.85664682539682535,0.09853861416361416
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,715193,715199,2021-12-22T07:40:00Z,2021-12-25T07:40:00Z,15.455786648064812,0.19071669758233659,0.34432234432234432,0.91826923076923073
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,715840,715846,2021-12-26T16:20:00Z,2021-12-29T16:20:00Z,15.539687410828,-0.10761297696111739,0.38343253968253971,0.070856227106227104
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,716404,716410,2021-12-30T17:25:00Z,2022-01-02T17:25:00Z,16.632792312580033,-0.099105996869935112,0.84737484737484736,0.071008852258852256
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,716989,716995,2022-01-03T12:45:00Z,2022-01-06T12:45:00Z,15.757966032210721,-0.090617367583614036,0.475770757020757,0.077628968253968256
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,717451,717457,2022-01-06T18:55:00Z,2022-01-09T18:55:00Z,16.85721904022606,-0.082378439265902256,0.9241071428571429,0.090926434676434673
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,718054,718060,2022-01-10T22:55:00Z,2022-01-13T22:55:00Z,16.115695272353303,-0.087888769745786521,0.64114010989010994,0.0816735347985348
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,718565,718571,2022-01-14T05:10:00Z,2022-01-17T05:10:00Z,14.716793230211154,0.19652190619509602,0.17155067155067155,0.92135989010989006
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,719087,719093,2022-01-17T08:05:00Z,2022-01-20T08:05:00Z,16.115897536874691,0.18667100193179334,0.6479700854700855,0.90199557387057383
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,719577,719583,2022-01-20T09:15:00Z,2022-01-23T09:15:00Z,14.641876582310442,0.19259413956469493,0.16189713064713065,0.90850122100122099
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,720118,720124,2022-01-24T06:00:00Z,2022-01-27T06:00:00Z,16.600516182902886,-0.081380274270826974,0.85973748473748479,0.095447954822954817
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,720560,720566,2022-01-27T07:40:00Z,2022-01-30T07:40:00Z,15.785157322720831,-0.087430733491843549,0.5066773504273504,0.084745115995115999
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,721006,721012,2022-01-30T08:55:00Z,2022-02-02T08:55:00Z,16.319553681845122,0.1887823830561916,0.74652777777777779,0.90535332722832718
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,721604,721610,2022-02-03T08:55:00Z,2022-02-06T08:55:00Z,15.882917346641714,0.20018007509526778,0.54582570207570202,0.91979548229548225
