document_class,meeting_date,release_date,last_update_date,encoding,source_eligible,official_url,index_url
fomc_statement,2016-04-27,2016-04-27,2016-04-27,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160427a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_minutes,2016-04-27,2016-05-18,2016-05-18,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160427.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_statement,2016-06-15,2016-06-15,2016-06-15,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160615a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_minutes,2016-06-15,2016-07-06,2016-07-06,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160615.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_statement,2016-07-27,2016-07-27,2016-07-27,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160727a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_minutes,2016-07-27,2016-08-17,2016-08-17,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160727.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_statement,2016-09-21,2016-09-21,2016-09-21,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160921a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_minutes,2016-09-21,2016-10-12,2016-10-12,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160921.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_statement,2016-11-02,2016-11-02,2016-11-02,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20161102a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_minutes,2016-11-02,2016-11-23,2016-11-23,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20161102.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_statement,2016-12-14,2016-12-14,2016-12-14,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20161214a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_minutes,2016-12-14,2017-01-04,2017-01-04,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20161214.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_statement,2017-02-01,2017-02-01,2017-02-01,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170201a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_minutes,2017-02-01,2017-02-22,2017-02-22,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170201.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_statement,2017-03-15,2017-03-15,2017-03-15,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170315a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_minutes,2017-03-15,2017-04-05,2017-04-05,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170315.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_statement,2017-05-03,2017-05-03,2017-05-03,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170503a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_minutes,2017-05-03,2017-05-24,2017-05-24,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170503.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_statement,2017-06-14,2017-06-14,2017-06-14,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170614a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_minutes,2017-06-14,2017-07-05,2017-07-05,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170614.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_statement,2017-07-26,2017-07-26,2017-07-26,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170726a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
